Horizon (weeks),Naive MAE,Naive RMSE,ARIMA MAE,ARIMA RMSE,signature_y_only_mae,signature_y_only_rmse,signature_y_only_mre,signature_joint_mae,signature_joint_rmse,signature_joint_mre,Improvement y-only vs ARIMA (RMSE %),Improvement joint-path vs ARIMA (RMSE %)
1,11423.076923076924,15483.241560822114,92060.90006485667,93590.26524172603,24094.6075238502,31155.223609840996,10.972583430716504,139954.14067373055,398382.2603555203,64.69510639236795,66.71104251134142,-325.66634395850247
2,12576.923076923076,16837.458240482738,131687.73480971277,133320.34920068533,58474.836766399014,83236.40441544361,26.46559499013143,3565985.0658648913,6413713.932095594,1557.6035198004756,37.566616863454975,-4710.753925074945
3,15846.153846153846,19719.18238280061,157613.6316496195,159441.30484504058,130842.87531640481,173228.0342880796,58.61824385010311,20461410.02161281,40372030.51959024,9064.974401725543,-8.646899532362836,-25220.93585086212
4,17269.23076923077,21950.11827548299,175035.336584309,176899.86651796917,187179.77865934506,233143.40980173863,83.66769140792752,33239224.703712855,45718038.4810098,14750.576780109808,-31.793999843440435,-25744.020903410827
6,19576.923076923078,24855.73761343027,195313.85141306598,197188.86696751142,340249.9430490149,442829.9806810563,154.19372176676896,38103013.428161874,60724841.30638808,16749.652727583376,-124.5714920376394,-30695.268637753787
8,20846.153846153848,26031.046552441654,206455.31299624202,208341.43083351656,507688.93670835695,615821.9938888899,224.7787760286261,30738881.05626204,45428396.27258318,14157.23354586967,-195.58306834370683,-21704.782702526667
12,17384.615384615383,22295.22197864204,220616.1953869262,222592.72619465232,747357.9331794864,885246.1343059461,339.3943214337112,22284706.077871103,41132123.18630665,10032.33429452646,-297.6976918517177,-18378.646580004384
