forecast_origin,target_date,actual_std,actual_orig,gamma,n_eff,q0_1_std,q0_1_orig,q0_5_std,q0_5_orig,q0_9_std,q0_9_orig,median_error_orig,median_rel_error_orig
2024-10-02,2024-10-09,2.1642429519860964,1074.4039,6.812920690579608,25.720396249400743,2.1327053656298633,1071.2520482169157,2.135615585958137,1071.5428942895107,2.1449451244124833,1072.4752840444064,-2.8610057104892803,0.0026628772573231356
2024-10-09,2024-10-16,2.1596031466272683,1073.9402,6.812920690579608,39.317124428339966,2.1527233541508393,1073.252636724258,2.1603736815846784,1074.017206906997,2.179273121662772,1075.9060082006845,0.07700690699698498,7.170502323777896e-05
2024-10-16,2024-10-23,2.1763402663678586,1075.6129,6.812920690579608,37.617712191794,2.1648879719024254,1074.4683629918866,2.183522229028618,1076.3306620241026,2.183522229028618,1076.3306620241026,0.7177620241025124,0.0006673051467702855
2024-10-23,2024-10-30,2.220309851634834,1080.0072,6.812920690579608,38.0305978623146,2.176578807618257,1075.6367397021547,2.1891631502824382,1076.8944130832758,2.193627633537169,1077.3405914733412,-3.1127869167241897,0.002882190893471997
2024-10-30,2024-11-06,2.186389342326172,1076.6172,10.0,30.36977221485252,2.219789987854881,1079.9552450544536,2.2317669028577827,1081.152212396258,2.248384496989099,1082.8129670621902,4.5350123962580255,0.004212279347067858
2024-11-06,2024-11-13,2.173876776871754,1075.3667,10.0,33.832680363360424,2.1986548057141935,1077.8430047338568,2.1986548057141935,1077.8430047338568,2.223562166939351,1080.3322348861802,2.4763047338567503,0.0023027537805073842
2024-11-13,2024-11-20,2.1816945036926545,1076.148,10.0,36.5496175882069,2.1571109183590895,1073.6911278604207,2.1571109183590895,1073.6911278604207,2.1872537319338723,1076.7035866973056,-2.456872139579218,0.002283024397740105
2024-11-20,2024-11-27,2.1233642355466857,1070.3185,6.812920690579608,41.3599329499741,2.1684379293919087,1074.823144100267,2.1684379293919087,1074.823144100267,2.204817182813165,1078.4588698488355,4.504644100266887,0.004208694982163615
2024-11-27,2024-12-04,2.163728641018997,1074.3525,10.0,40.058915840251814,2.1405383321496725,1072.0348712653708,2.1431491139080223,1072.2957915858844,2.150803842249318,1073.0608015932776,-2.056708414115519,0.001914370203555648
2024-12-04,2024-12-11,2.1995352907420194,1077.931,6.812920690579608,45.891016549747405,2.122640366654883,1070.2461568780002,2.1227170872833026,1070.253824302094,2.1768596254321912,1075.664804504501,-7.677175697906023,0.00712214019070425
2024-12-11,2024-12-18,2.186527425815395,1076.631,6.812920690579608,40.897512869137515,2.1717940617283777,1075.158554412568,2.223117150733992,1080.287760172595,2.223117150733992,1080.287760172595,3.656760172594886,0.00339648419244373
2024-12-18,2024-12-25,2.236096396630786,1081.5849,6.812920690579608,22.563727422443538,2.180735099486588,1076.0521175877116,2.2233713004244176,1080.3131597750214,2.2233713004244176,1080.3131597750214,-1.2717402249786574,0.0011758117416197816
