forecast_origin,target_date,forecast_std,actual_std,forecast_orig,actual_orig,error_orig,rel_error_orig,n_selected_features,n_eff,gamma
2024-10-02,2024-10-09,2.172257787446149,2.1642429519860964,1075.204898946164,1074.4039,0.8009989461638725,0.0007455287030918935,133,25.720396249400743,6.812920690579608
2024-10-09,2024-10-16,2.217507838689201,2.1596031466272683,1079.7271681231416,1073.9402,5.786968123141605,0.005388538508141892,133,39.317124428339966,6.812920690579608
2024-10-16,2024-10-23,2.201213826081494,2.1763402663678586,1078.098752044907,1075.6129,2.4858520449070056,0.002311102855782973,133,37.617712191794,6.812920690579608
2024-10-23,2024-10-30,2.2546615317359833,2.220309851634834,1083.4402910094313,1080.0072,3.4330910094313367,0.0031787667799171495,133,38.0305978623146,6.812920690579608
2024-10-30,2024-11-06,2.191067172963293,2.186389342326172,1077.0847002287123,1076.6172,0.46750022871242436,0.0004342306891552767,133,30.36977221485252,10.0
2024-11-06,2024-11-13,2.2300160008888374,2.173876776871754,1080.9772280638967,1075.3667,5.610528063896709,0.0052173161619164035,133,33.832680363360424,10.0
2024-11-13,2024-11-20,2.2047421222566754,2.1816945036926545,1078.4513683315622,1076.148,2.3033683315622966,0.002140382486017069,133,36.5496175882069,10.0
2024-11-20,2024-11-27,2.18240840539197,2.1233642355466857,1076.2193470053958,1070.3185,5.90084700539569,0.005513169215888252,133,41.3599329499741,6.812920690579608
2024-11-27,2024-12-04,2.168039565712613,2.163728641018997,1074.783331818543,1074.3525,0.4308318185430835,0.00040101532648091154,133,40.058915840251814,10.0
2024-12-04,2024-12-11,2.1734580206679226,2.1995352907420194,1075.3248496988128,1077.931,-2.606150301187199,0.0024177338820269563,133,45.891016549747405,6.812920690579608
2024-12-11,2024-12-18,2.2373449651850126,2.186527425815395,1081.709681363402,1076.631,5.078681363401984,0.004717197780299828,133,40.897512869137515,6.812920690579608
2024-12-18,2024-12-25,2.2194847873417087,2.236096396630786,1079.9247434564309,1081.5849,-1.660156543569201,0.0015349294757805892,1,22.563727422443538,6.812920690579608
