horizon_weeks,signature_mre,n_forecasts
1,0.24940521683901495,12
2,0.33365009608110885,12
3,0.3070948890799746,12
4,0.3808455572460023,12
6,0.3921907620094213,12
8,0.5685038316242327,12
12,1.230666770751511,12
