forecast_origin,target_date,forecast_std,actual_std,forecast_orig,actual_orig,error_orig,rel_error_orig,n_selected_features,n_eff,gamma
2024-09-25,2024-10-09,2.177940540757049,2.1642429519860964,1075.7728306817594,1074.4039,1.368930681759366,0.0012741304101366031,16,48.1137268237553,6.812920690579608
2024-10-02,2024-10-16,2.1611331999961894,2.1596031466272683,1074.0931128254958,1073.9402,0.1529128254958323,0.00014238486043806936,16,44.84294994078819,6.812920690579608
2024-10-09,2024-10-23,2.1654870791134786,2.1763402663678586,1074.528237489259,1075.6129,-1.0846625107410546,0.0010084134457117933,16,25.849958914210305,6.812920690579608
2024-10-16,2024-10-30,2.1567763547712784,2.220309851634834,1073.6576917303096,1080.0072,-6.349508269690432,0.00587913512955324,16,39.22864283836604,6.812920690579608
2024-10-23,2024-11-06,2.200805440479563,2.186389342326172,1078.057938176874,1076.6172,1.4407381768739924,0.001338208396516415,16,37.541283789981016,6.812920690579608
2024-10-30,2024-11-13,2.232222896253916,2.173876776871754,1081.1977841652083,1075.3667,5.831084165208267,0.005422414665814244,16,37.797152318111735,6.812920690579608
2024-11-06,2024-11-20,2.213547591066718,2.1816945036926545,1079.3313828087746,1076.148,3.183382808774695,0.0029581273289312395,16,30.572009936957958,10.0
2024-11-13,2024-11-27,2.229144423684863,2.1233642355466857,1080.8901230415463,1070.3185,10.571623041546218,0.009877081487002436,16,33.982838209535366,10.0
2024-11-20,2024-12-04,2.219756995342118,2.163728641018997,1079.9519477979989,1074.3525,5.5994477979988915,0.005211927926820007,16,36.90990251174186,10.0
2024-11-27,2024-12-11,2.1706638507831024,2.1995352907420194,1075.045601653822,1077.931,-2.8853983461781354,0.002676793177094021,16,41.57282057809699,6.812920690579608
2024-12-04,2024-12-18,2.171164851248369,2.186527425815395,1075.0956714084298,1076.631,-1.5353285915703054,0.0014260490284696478,16,39.914778430765125,10.0
2024-12-11,2024-12-25,2.20554104151383,2.236096396630786,1078.5312119523376,1081.5849,-3.05368804766249,0.0028233456732453363,16,46.587211307841116,6.812920690579608
