forecast_origin,target_date,actual_std,actual_orig,gamma,n_eff,q0_1_std,q0_1_orig,q0_5_std,q0_5_orig,q0_9_std,q0_9_orig,median_error_orig,median_rel_error_orig
2022-08-06,2022-11-05,-0.35123035530869706,204000.0,1.467799267622069,39.11150374294513,-0.48253770998841666,98871.2718760079,-0.48253770998841666,98871.2718760079,-0.07851143104007702,422347.20312229026,-105128.7281239921,0.5153369025685888
2022-09-03,2022-12-03,-0.3449852804836287,209000.0,1.467799267622069,40.026035415606536,-0.3064044637232168,239888.9948007866,-0.3064044637232168,239888.9948007866,-0.3064044637232168,239888.9948007866,30888.994800786604,0.14779423349658663
2022-10-01,2023-01-07,-0.343736265518615,210000.0,1.467799267622069,40.64031706291562,-0.4902956663949748,92660.01210421388,-0.4902956663949748,92660.01210421388,-0.4902956663949748,92660.01210421388,-117339.98789578612,0.5587618471227911
2022-11-05,2023-02-04,-0.33749119069354666,215000.0,2.154434690031882,36.30097520183319,-0.37015629191651606,188847.30996989144,-0.37015629191651606,188847.30996989144,-0.37015629191651606,188847.30996989144,-26152.690030108555,0.12164041874469095
2022-12-03,2023-03-04,-0.3187559662183416,230000.0,1.467799267622069,42.67196453578344,-0.3944616165662683,169387.715545027,-0.3944616165662683,169387.715545027,-0.3440555800639664,209744.34690192208,-60612.28445497301,0.2635316715433609
2023-01-07,2023-04-01,-0.3349931607635193,217000.0,1.467799267622069,43.750946260821856,-0.3826058341555245,178879.82151880453,-0.3826058341555245,178879.82151880453,-0.06068546488434723,436619.22279783885,-38120.17848119547,0.1756690252589653
2023-02-04,2023-05-06,-0.32749907097343733,223000.0,1.467799267622069,44.752819929357756,-0.38838204627607364,174255.20749707753,-0.38838204627607364,174255.20749707753,-0.35673562501131495,199592.31085549272,-48744.79250292247,0.21858651346602007
2023-03-04,2023-06-03,-0.2912776369880409,252000.0,1.467799267622069,44.373579204184225,-0.3991419906383247,165640.4633477684,-0.3991419906383247,165640.4633477684,-0.14256749822185827,371061.93515027664,-86359.53665223159,0.34269657401679204
2023-04-01,2023-07-01,-0.29627369684809557,248000.0,1.467799267622069,44.88296218940522,-0.32644772001617894,223841.74408370428,-0.32644772001617894,223841.74408370428,-0.32644772001617894,223841.74408370428,-24158.25591629572,0.0974123222431279
2023-05-06,2023-08-05,-0.28378354719795884,258000.00000000003,2.154434690031882,42.27262769126,-0.33507369939051346,216935.5182850085,-0.33507369939051346,216935.5182850085,-0.32483715613791186,225131.21132259318,-41064.48171499153,0.15916465781004469
2023-06-03,2023-09-02,-0.32500104104341,224999.99999999997,2.154434690031882,37.38648539497241,-0.29592407558336187,248279.9175946862,-0.29592407558336187,248279.9175946862,-0.29488209256197384,249114.1614192801,23279.917594686238,0.10346630042082773
2023-07-01,2023-10-07,-0.343736265518615,210000.0,2.154434690031882,34.8871824304587,-0.29642670271134114,247877.49877500956,-0.29642670271134114,247877.49877500956,-0.2691275270086537,269734.06292145164,37877.49877500956,0.18036904178575983
2023-08-05,2023-11-04,-0.336242175728533,216000.0,2.154434690031882,35.725643326910436,-0.26183095247949106,275575.92609647196,-0.23381413024629638,298007.06024456286,-0.23381413024629638,298007.06024456286,82007.06024456286,0.3796623159470503
2023-09-02,2023-12-02,-0.33749119069354666,215000.0,1.467799267622069,45.45860881678595,-0.35715487903376725,199256.6431219618,-0.28501373077064796,257015.07699495368,-0.28501373077064796,257015.07699495368,42015.07699495368,0.1954189627672264
2023-10-07,2024-01-06,-0.354977400203738,201000.0,2.154434690031882,38.174515279208244,-0.3727859148901711,186741.95251036232,-0.32608137345830357,224135.05246521864,-0.3195002439371632,229404.10824556177,23135.052465218643,0.11509976350855046
2023-11-04,2024-02-03,-0.339989220623574,213000.0,2.154434690031882,39.5447219496566,-0.377765860503328,182754.8540746743,-0.3069406053957092,239459.7432005173,-0.29083364061458683,252355.47722476584,26459.74320051729,0.12422414648130183
