forecast_origin,target_date,actual_std,actual_orig,gamma,n_eff,q0_1_std,q0_1_orig,q0_5_std,q0_5_orig,q0_9_std,q0_9_orig,median_error_orig,median_rel_error_orig
2022-07-02,2022-11-05,-0.35123035530869706,204000.0,1.467799267622069,42.257415935739374,-0.24678073252935695,287625.5975349318,-0.24678073252935695,287625.5975349318,0.7961343090796856,1122615.62633545,83625.59753493179,0.4099293996810382
2022-08-06,2022-12-03,-0.3449852804836287,209000.0,1.467799267622069,38.9561104451007,-0.4293120815841176,141485.35569022107,-0.4293120815841176,141485.35569022107,0.9361744994362777,1234736.1327179011,-67514.64430977893,0.32303657564487526
2022-09-03,2023-01-07,-0.343736265518615,210000.0,1.467799267622069,39.424095439794456,-0.4282403026417593,142343.45505042095,-0.36314807434989316,194458.30564482813,0.18260247844758726,631403.0725888395,-15541.694355171872,0.0740080683579613
2022-10-01,2023-02-04,-0.33749119069354666,215000.0,1.467799267622069,40.21787055187217,-0.6319581609447877,-20759.361176283623,-0.581905386612093,19314.437564908352,1.8084185053953106,1933081.6533013848,-195685.56243509165,0.9101654066748449
2022-11-05,2023-03-04,-0.3187559662183416,230000.0,1.467799267622069,40.785776631359944,-0.6084803326483741,-1962.2859177364153,-0.31865059040964494,230084.36713061764,0.06971252853201765,541019.8881773268,84.36713061764021,0.0003668136113810444
2022-12-03,2023-04-01,-0.3349931607635193,217000.0,2.154434690031882,36.38167258496043,-0.5343318026613336,57403.31983081356,-0.11102202665459468,396318.21505955566,0.9449774201973171,1241784.023261745,179318.21505955566,0.8263512214726068
2023-01-07,2023-05-06,-0.32749907097343733,223000.0,1.467799267622069,42.77948151436925,-0.32518344157472334,224853.96449488387,-0.32518344157472334,224853.96449488387,1.1374553431343521,1395887.7997004273,1853.9644948838686,0.008313742129524074
2023-02-04,2023-06-03,-0.2912776369880409,252000.0,1.467799267622069,43.88843986907988,-0.5250036774940559,64871.70526138815,-0.43042114692291794,140597.40368815023,0.7835400846029958,1112532.3008113625,-111402.59631184977,0.44207379488829274
2023-03-04,2023-07-01,-0.29627369684809557,248000.0,1.467799267622069,44.7979780388651,-0.43115412414138177,140010.55946370505,-0.3115148659787962,235797.4487435114,0.4226889775381611,823623.747132916,-12202.551256488601,0.04920383571164758
2023-04-01,2023-08-05,-0.28378354719795884,258000.00000000003,1.467799267622069,44.47870119002069,-0.3348402523096417,217122.4232360386,-0.3166408848630711,231693.39953044304,-0.054429051721445465,441628.3006216849,-26306.600469556986,0.10196356771146117
2023-05-06,2023-09-02,-0.32500104104341,224999.99999999997,1.467799267622069,44.992850858562875,-0.3344246090799843,217455.20005721372,-0.3344246090799843,217455.20005721372,-0.3344246090799843,217455.20005721372,-7544.799942786252,0.033532444190161124
2023-06-03,2023-10-07,-0.343736265518615,210000.0,2.154434690031882,42.39741766324227,-0.327775800285952,222778.44195604842,-0.327775800285952,222778.44195604842,-0.327775800285952,222778.44195604842,12778.441956048424,0.06084972360023059
2023-07-01,2023-11-04,-0.336242175728533,216000.0,2.154434690031882,37.5109383513664,-0.3090219737919564,237793.33530745862,-0.3090219737919564,237793.33530745862,-0.2698872315162684,269125.8200029159,21793.33530745862,0.10089507086786398
2023-08-05,2023-12-02,-0.33749119069354666,215000.0,2.154434690031882,34.96609913066799,-0.313275458813373,234387.8636833696,-0.31176033003393144,235600.92263132622,-0.30837522888871804,238311.13927406783,20600.92263132622,0.09581824479686614
2023-09-02,2024-01-06,-0.354977400203738,201000.0,2.154434690031882,35.27973972156136,-0.3970907128153417,167282.77979748405,-0.36326263483091176,194366.58498156344,-0.20363854371441514,322166.5678382537,-6633.415018436557,0.03300206476834108
2023-10-07,2024-02-03,-0.339989220623574,213000.0,1.467799267622069,45.58877929636003,-0.3875730612890813,174902.90589113435,-0.3650012577699218,192974.58969911217,-0.335238209821009,216803.8061477614,-20025.41030088783,0.09401601080229029
2023-11-04,2024-03-02,-0.339989220623574,213000.0,2.154434690031882,38.22007407160031,-0.35813692404676084,198470.38752014615,-0.341485793448837,211801.79752270092,-0.28262645876215436,258926.40077838604,-1198.2024772990844,0.005625363743188189
2023-12-02,2024-04-06,-0.339989220623574,213000.0,2.154434690031882,39.69896772376863,-0.3884715984140381,174183.50928650924,-0.3414488060882553,211831.41074721608,-0.30211641102049214,243322.1423793488,-1168.589252783917,0.0054863345201122855
2024-01-06,2024-05-04,-0.3187559662183416,230000.0,2.154434690031882,39.669190978973916,-0.3586932020906761,198025.01411830768,-0.32348116120663317,226216.8627913599,-0.30996472138858755,237038.54243224207,-3783.1372086401097,0.016448422646261347
2024-02-03,2024-06-01,-0.32250301111338264,227000.0,2.154434690031882,39.50615424515002,-0.3900057940987585,172955.1847846458,-0.2992855777931638,245588.59498930402,-0.27699598301838296,263434.3337507582,18588.594989304023,0.08188808365332169
2024-03-02,2024-07-06,-0.32749907097343733,223000.0,2.154434690031882,38.02828211038452,-0.3958204947320187,168299.75566959387,-0.33650039997108977,215793.2576872256,-0.27519197452633587,264878.67872866435,-7206.742312774411,0.032317230102127406
2024-04-06,2024-08-03,-0.31375990635828693,234000.0,2.154434690031882,36.90263702146743,-0.3582937389109032,198344.83669126505,-0.32253042270694654,226978.05343063796,-0.26105778572972466,276194.94730232115,-7021.946569362044,0.030008318672487367
2024-05-04,2024-09-07,-0.32250301111338264,227000.0,1.467799267622069,42.27150707850484,-0.37481056884967784,185120.95194894425,-0.34122254053443923,212012.5659456356,-0.2817380272114388,259637.70654781358,-14987.434054364392,0.0660239385654819
