horizon_weeks,signature_mre,n_forecasts
1,64.69510639236795,26
2,1557.6035198004756,26
3,9064.974401725543,26
4,14750.576780109808,26
6,16749.652727583376,26
8,14157.23354586967,26
12,10032.33429452646,26
