forecast_origin,target_date,forecast_std,actual_std,forecast_orig,actual_orig,error_orig,rel_error_orig,n_selected_features,n_eff,gamma
2022-08-06,2022-11-05,-9.663318427741832,-0.35123035530869706,-7251545.636581879,204000.0,-7455545.636581879,36.54679233618568,91,39.11150374294513,1.467799267622069
2022-09-03,2022-12-03,6.67927200681822,-0.3449852804836287,5832837.571253577,209000.0,5623837.571253577,26.908313738055394,91,40.026035415606536,1.467799267622069
2022-10-01,2023-01-07,-0.42821347836128254,-0.343736265518615,142364.93139876594,210000.0,-67635.06860123406,0.3220717552439717,91,40.64031706291562,1.467799267622069
2022-11-05,2023-02-04,-11.260286548040815,-0.33749119069354666,-8530127.691266473,215000.0,-8745127.691266473,40.67501251751848,91,36.30097520183319,2.154434690031882
2022-12-03,2023-03-04,19.395661877830747,-0.3187559662183416,16013972.48733791,230000.0,15783972.48733791,68.62596733625178,91,42.67196453578344,1.467799267622069
2023-01-07,2023-04-01,23.387015764057846,-0.3349931607635193,19209573.81961131,217000.0,18992573.81961131,87.52338165719497,91,43.750946260821856,1.467799267622069
2023-02-04,2023-05-06,25.34169506934652,-0.32749907097343733,20774550.50927594,223000.0,20551550.50927594,92.15941932410735,91,44.752819929357756,1.467799267622069
2023-03-04,2023-06-03,25.38988065103716,-0.2912776369880409,20813129.375855103,252000.0,20561129.375855103,81.59178323752025,91,44.373579204184225,1.467799267622069
2023-04-01,2023-07-01,-1.4905156819948053,-0.29627369684809557,-708147.0587613331,248000.0,-956147.0587613331,3.8554316885537627,91,44.88296218940522,1.467799267622069
2023-05-06,2023-08-05,-18.665114022500138,-0.28378354719795884,-14458661.52142621,258000.00000000003,-14716661.52142621,57.041323726458174,91,42.27262769126,2.154434690031882
2023-06-03,2023-09-02,4.460274544253723,-0.32500104104341,4056239.592269225,224999.99999999997,3831239.592269225,17.027731521196557,91,37.38648539497241,2.154434690031882
2023-07-01,2023-10-07,10.479255090161935,-0.343736265518615,8875221.521634929,210000.0,8665221.521634929,41.262959626832995,91,34.8871824304587,2.154434690031882
2023-08-05,2023-11-04,10.882267322153002,-0.336242175728533,9197885.57553332,216000.0,8981885.57553332,41.582803590432036,91,35.725643326910436,2.154434690031882
2023-09-02,2023-12-02,15.64091908300615,-0.33749119069354666,13007809.31075539,215000.0,12792809.31075539,59.501438654676235,91,45.45860881678595,1.467799267622069
2023-10-07,2024-01-06,-9.126201823314334,-0.354977400203738,-6821513.475660877,201000.0,-7022513.475660877,34.93787798836257,91,38.174515279208244,2.154434690031882
2023-11-04,2024-02-03,-19.42852774541694,-0.339989220623574,-15069874.152420145,213000.0,-15282874.152420145,71.75058287521195,91,39.5447219496566,2.154434690031882
2023-12-02,2024-03-02,-36.53366136909806,-0.339989220623574,-28764773.014976136,213000.0,-28977773.014976136,136.04588269941848,91,39.51543141878066,2.154434690031882
2024-01-06,2024-04-06,-34.791819632769254,-0.339989220623574,-27370200.66386764,213000.0,-27583200.66386764,129.49859466604528,91,39.49086433648542,2.154434690031882
2024-02-03,2024-05-04,-231.52958559672012,-0.3187559662183416,-184884539.14242834,230000.0,-185114539.14242834,804.8458223583841,91,38.458758586530344,2.154434690031882
2024-03-02,2024-06-01,-51.84201298749971,-0.32250301111338264,-41021112.64837205,227000.0,-41248112.64837205,181.7097473496566,91,36.97423759300432,2.154434690031882
2024-04-06,2024-07-06,10.534744044728969,-0.32749907097343733,8919647.694356106,223000.0,8696647.694356106,38.998420154063254,91,42.31149696428347,1.467799267622069
2024-05-04,2024-08-03,38.666792820359944,-0.31375990635828693,31443035.77507705,234000.0,31209035.77507705,133.37194775673953,91,43.280480423539764,1.467799267622069
2024-06-01,2024-09-07,44.686795724667284,-0.32250301111338264,36262836.23618798,227000.0,36035836.23618798,158.74817725192943,91,37.33661575062082,2.154434690031882
2024-07-06,2024-10-05,2.8919556379329956,-0.28378354719795884,2800594.984117102,258000.00000000003,2542594.984117102,9.85501931828334,91,39.196397672287475,2.154434690031882
2024-08-03,2024-11-02,0.2940340061633851,-0.3299971009034646,720618.5990934224,221000.0,499618.5990934224,2.2607176429566627,91,37.21426616961178,2.154434690031882
2024-09-07,2024-12-07,-0.23559975330585206,-0.30876384649823224,296577.4352123791,238000.0,58577.43521237909,0.24612367736293736,1,36.99023145797324,2.154434690031882
