horizon_weeks,signature_mre,n_forecasts
1,10.972583430716504,26
2,26.46559499013143,26
3,58.61824385010311,26
4,83.66769140792752,26
6,154.19372176676896,26
8,224.7787760286261,26
12,339.3943214337112,26
