forecast_origin,target_date,actual_std,actual_orig,gamma,n_eff,q0_1_std,q0_1_orig,q0_5_std,q0_5_orig,q0_9_std,q0_9_orig,median_error_orig,median_rel_error_orig
2022-10-01,2022-11-05,-0.35123035530869706,204000.0,1.467799267622069,42.88632019858011,-0.3695051008552287,189368.673668108,-0.34533517866350444,208719.86069848895,-0.3383650022300141,214300.39946602413,4719.860698488948,0.023136572051416414
2022-11-05,2022-12-03,-0.3449852804836287,209000.0,1.467799267622069,43.415678503170504,-0.36402493157795385,193756.26663599123,-0.3558930283704948,200266.9197788621,-0.344353210141048,209506.05505961552,-8733.080221137905,0.04178507282841103
2022-12-03,2023-01-07,-0.343736265518615,210000.0,1.467799267622069,44.85552293880096,-0.3629798766898593,194592.96989205113,-0.3629798766898593,194592.96989205113,-0.33912744336365475,213689.96552007674,-15407.03010794887,0.07336681003785177
2023-01-07,2023-02-04,-0.33749119069354666,215000.0,1.467799267622069,44.25100970013635,-0.35125300630841233,203981.86490926868,-0.35125300630841233,203981.86490926868,-0.3364136759897964,215862.69158811762,-11018.135090731317,0.05124713995688985
2023-02-04,2023-03-04,-0.3187559662183416,230000.0,1.467799267622069,44.84807152410926,-0.3470638312489474,207335.84798938257,-0.33860474570766486,214108.45342505083,-0.3297541896597244,221194.48225245049,-15891.54657494917,0.06909368076064856
2023-03-04,2023-04-01,-0.3349931607635193,217000.0,2.154434690031882,42.52351670080147,-0.31204274439043866,235374.81296537505,-0.31204274439043866,235374.81296537505,-0.3117007716215202,235648.60693782335,18374.81296537505,0.08467655744412465
2023-04-01,2023-05-06,-0.32749907097343733,223000.0,2.154434690031882,37.88972856449253,-0.3244288021982867,225458.15211278675,-0.3244288021982867,225458.15211278675,-0.31928237268581194,229578.54270587978,2458.1521127867454,0.011023103644783611
2023-05-06,2023-06-03,-0.2912776369880409,252000.0,2.154434690031882,35.34576449979435,-0.3499779777402022,205002.6922043173,-0.3226143330878833,226910.8721851868,-0.3097393747869417,237218.96188914057,-25089.127814813197,0.09956003101116348
2023-06-03,2023-07-01,-0.29627369684809557,248000.0,2.154434690031882,34.530318182095975,-0.31122296231412283,236031.1558429857,-0.2863603667065446,255936.918627266,-0.27296169103434603,266664.3126517659,7936.918627265986,0.03200370414220156
2023-07-01,2023-08-05,-0.28378354719795884,258000.00000000003,1.467799267622069,45.60155239426612,-0.3142148997999464,233635.71818240426,-0.2964216780661809,247881.5216612847,-0.25638266127868725,279937.99649067596,-10118.47833871533,0.0392189082895943
2023-08-05,2023-09-02,-0.32500104104341,224999.99999999997,2.154434690031882,39.12321495470838,-0.29992874886870174,245073.65233965297,-0.2840789959046132,257763.4546303045,-0.24491964406418315,289115.64250421163,32763.454630304535,0.1456153539124646
2023-09-02,2023-10-07,-0.343736265518615,210000.0,2.154434690031882,40.049187590387575,-0.3288371107552695,221928.7239790457,-0.32609656265366765,224122.8915257667,-0.30307668134940086,242553.32026287544,14122.891525766696,0.06725186440841284
2023-10-07,2023-11-04,-0.336242175728533,216000.0,2.154434690031882,40.403689555354006,-0.3899522805716104,172998.02936909598,-0.35817156260854854,198442.65481656935,-0.3272115045392682,223230.23457862728,-17557.345183430647,0.0812840054788456
2023-11-04,2023-12-02,-0.33749119069354666,215000.0,2.154434690031882,40.55841876733842,-0.38078449722778895,180338.0401781107,-0.34822538846730067,206405.86936551513,-0.31880321434976777,229962.17168508813,-8594.13063448487,0.039972700625511025
2023-12-02,2024-01-06,-0.354977400203738,201000.0,2.154434690031882,38.08981239772991,-0.38290075716189426,178643.69704101136,-0.33979301973455855,213157.08449819358,-0.3179191303680373,230669.99665636124,12157.08449819358,0.0604830074536994
2024-01-06,2024-02-03,-0.339989220623574,213000.0,1.467799267622069,42.53775941285969,-0.40392277593253284,161812.81882138288,-0.36838205990878725,190267.81497377617,-0.3389994848423279,213792.41306867392,-22732.18502622383,0.10672387336255319
2024-02-03,2024-03-02,-0.339989220623574,213000.0,1.467799267622069,42.08398228404931,-0.36852119476993456,190156.41930195107,-0.36511964110471073,192879.80834091792,-0.3247065760834672,225235.75775166115,-20120.191659082077,0.09446099370461068
2024-03-02,2024-04-06,-0.339989220623574,213000.0,1.467799267622069,43.431476506320905,-0.370498461568118,188573.35836707923,-0.362686812071652,194827.60648682097,-0.326945288345151,223443.3754949287,-18172.393513179035,0.08531640147032411
2024-04-06,2024-05-04,-0.3187559662183416,230000.0,2.154434690031882,38.05171042886602,-0.3639357293448429,193827.68470191484,-0.3469725741603119,207408.91123617446,-0.3333502080719513,218315.39872426592,-22591.088763825537,0.09822212506011103
2024-05-04,2024-06-01,-0.32250301111338264,227000.0,2.154434690031882,39.80771999660375,-0.34134402874364655,211915.29872898065,-0.32139905689849796,227883.8598782302,-0.3047753050187244,241193.34963249555,883.8598782301997,0.0038936558512343597
2024-06-01,2024-07-06,-0.32749907097343733,223000.0,2.154434690031882,37.75882479076933,-0.3423629204744708,211099.54250558495,-0.3234551318456892,226237.70270254835,-0.3002857091873014,244787.85887152125,3237.702702548355,0.014518846199768407
2024-07-06,2024-08-03,-0.31375990635828693,234000.0,2.154434690031882,38.0441747758108,-0.3531578127539247,202456.81797318853,-0.3345593775844356,217347.30022556533,-0.3031140617248839,242523.39237847843,-16652.699774434674,0.07116538365143023
2024-08-03,2024-09-07,-0.32250301111338264,227000.0,2.154434690031882,40.74180208554709,-0.33650577026820877,215788.95806130482,-0.30553331087673646,240586.46670535323,-0.29847913311568713,246234.25953301732,13586.466705353232,0.059852276235036264
