forecast_origin,target_date,actual_std,actual_orig,gamma,n_eff,q0_1_std,q0_1_orig,q0_5_std,q0_5_orig,q0_9_std,q0_9_orig,median_error_orig,median_rel_error_orig
2022-09-03,2022-11-05,-0.35123035530869706,204000.0,1.467799267622069,40.065562541578224,-0.3159474689863284,232248.56972148645,-0.3159474689863284,232248.56972148645,-0.3159474689863284,232248.56972148645,28248.56972148645,0.13847338098767867
2022-10-01,2022-12-03,-0.3449852804836287,209000.0,1.467799267622069,43.43883283049993,-0.3592726150538642,197561.11818477762,-0.35053268539498783,204558.5761045718,-0.3315308985449881,219771.99418382737,-4441.42389542819,0.021250832035541577
2022-11-05,2023-01-07,-0.343736265518615,210000.0,1.467799267622069,42.25627747135732,-0.36355418116971433,194133.1639682296,-0.36355418116971433,194133.1639682296,-0.3472922990496813,207152.92960398807,-15866.836031770392,0.07555636205604949
2022-12-03,2023-02-04,-0.33749119069354666,215000.0,1.467799267622069,43.00891113493543,-0.369333891388495,189505.74926089874,-0.3600088290919139,196971.68246249092,-0.3493583240057977,205498.80614351074,-18028.31753750908,0.08385263970934456
2023-01-07,2023-03-04,-0.3187559662183416,230000.0,1.467799267622069,44.379216172835136,-0.3691580216090549,189646.556044137,-0.35872136930558723,198002.46257513156,-0.350490778058953,204592.12841355824,-31997.53742486844,0.1391197279342106
2023-02-04,2023-04-01,-0.3349931607635193,217000.0,1.467799267622069,43.794739162162266,-0.3444063664462003,209463.4964781403,-0.3444063664462003,209463.4964781403,-0.34112332059694533,212092.00449543138,-7536.503521859704,0.034730430976312
2023-03-04,2023-05-06,-0.32749907097343733,223000.0,1.467799267622069,44.3066296591544,-0.31893606257358376,229855.80928949066,-0.31716006729755575,231277.7260204952,-0.31212763981378316,235306.84306451518,8277.726020495204,0.03711984762553903
2023-04-01,2023-06-03,-0.2912776369880409,252000.0,2.154434690031882,41.89190803317719,-0.3192981831682578,229565.88434478024,-0.3192981831682578,229565.88434478024,-0.3105502831846702,236569.7235529773,-22434.115655219764,0.0890242684730943
2023-05-06,2023-07-01,-0.29627369684809557,248000.0,2.154434690031882,37.324557665104855,-0.31892016037499815,229868.54108136747,-0.31892016037499815,229868.54108136747,-0.3006345299374717,244508.58219354608,-18131.458918632532,0.07311072144609893
2023-06-03,2023-08-05,-0.28378354719795884,258000.00000000003,2.154434690031882,34.81853069343919,-0.30001272342995594,245006.41970945522,-0.2864643285952672,255853.68352469738,-0.2681723727563348,270498.7889488203,-2146.3164753026504,0.008319056105824224
