forecast_origin,target_date,forecast_std,actual_std,forecast_orig,actual_orig,error_orig,rel_error_orig,n_selected_features,n_eff,gamma
2022-10-01,2022-11-05,-0.382808062542546,-0.35123035530869706,178717.91121933964,204000.0,-25282.088780660357,0.12393180774833508,4,42.88632019858011,1.467799267622069
2022-11-05,2022-12-03,-1.7702615229559888,-0.3449852804836287,-932120.2286569569,209000.0,-1141120.228656957,5.459905400272521,91,43.415678503170504,1.467799267622069
2022-12-03,2023-01-07,-0.3551810628487653,-0.343736265518615,200836.94138922903,210000.0,-9163.058610770968,0.0436336124322427,4,44.85552293880096,1.467799267622069
2023-01-07,2023-02-04,-0.3118211575235675,-0.33749119069354666,235552.22226236356,215000.0,20552.22226236356,0.09559173145285377,2,44.25100970013635,1.467799267622069
2023-02-04,2023-03-04,-0.33583972476066337,-0.3187559662183416,216322.2146884887,230000.0,-13677.78531151131,0.05946863178917961,4,44.84807152410926,1.467799267622069
2023-03-04,2023-04-01,-2.2940704727891155,-0.3349931607635193,-1351497.8698427004,217000.0,-1568497.8698427004,7.228100782685256,91,42.52351670080147,2.154434690031882
2023-04-01,2023-05-06,-0.3261417356618107,-0.32749907097343733,224086.72461871724,223000.0,1086.7246187172423,0.0048732045682387546,1,37.88972856449253,2.154434690031882
2023-05-06,2023-06-03,-0.32261966765000594,-0.2912776369880409,226906.60116980903,252000.0,-25093.39883019097,0.09957697948488481,1,35.34576449979435,2.154434690031882
2023-06-03,2023-07-01,-0.28196860075731983,-0.29627369684809557,259453.10223774554,248000.0,11453.102237745537,0.04618186386187717,3,34.530318182095975,2.154434690031882
2023-07-01,2023-08-05,-0.27777047457743204,-0.28378354719795884,262814.25186163484,258000.00000000003,4814.25186163481,0.01865989093656903,3,45.60155239426612,1.467799267622069
2023-08-05,2023-09-02,-1.0708918286228006,-0.32500104104341,-372183.22716111515,224999.99999999997,-597183.2271611152,2.654147676271623,91,39.12321495470838,2.154434690031882
2023-09-02,2023-10-07,-0.33921814819463925,-0.343736265518615,213617.34442783584,210000.0,3617.3444278358365,0.017225449656361125,6,40.049187590387575,2.154434690031882
2023-10-07,2023-11-04,-0.3438546703464576,-0.336242175728533,209905.20143380243,216000.0,-6094.798566197569,0.02821666002869245,1,40.403689555354006,2.154434690031882
2023-11-04,2023-12-02,-0.33522757764422245,-0.33749119069354666,216812.3185972391,215000.0,1812.318597239093,0.008429388824367874,3,40.55841876733842,2.154434690031882
2023-12-02,2024-01-06,-0.3428298904114753,-0.354977400203738,210725.6719355078,201000.0,9725.671935507795,0.04838642753983977,1,38.08981239772991,2.154434690031882
2024-01-06,2024-02-03,-0.35583584578795013,-0.339989220623574,200312.70192250842,213000.0,-12687.298077491578,0.059564779706533226,1,42.53775941285969,1.467799267622069
2024-02-03,2024-03-02,-0.36796873744902936,-0.339989220623574,190598.7337148125,213000.0,-22401.266285187507,0.1051702642497066,3,42.08398228404931,1.467799267622069
2024-03-02,2024-04-06,-0.3626097810453264,-0.339989220623574,194889.2799082637,213000.0,-18110.720091736293,0.08502685489078073,4,43.431476506320905,1.467799267622069
2024-04-06,2024-05-04,-0.35732965170562087,-0.3187559662183416,199116.7147169793,230000.0,-30883.285283020698,0.13427515340443782,6,38.05171042886602,2.154434690031882
2024-05-04,2024-06-01,-0.3261330659321184,-0.32250301111338264,224093.66587237327,227000.0,-2906.334127626731,0.012803234042408507,15,39.80771999660375,2.154434690031882
2024-06-01,2024-07-06,-0.32438556018386144,-0.32749907097343733,225492.77300656025,223000.0,2492.773006560252,0.011178354289507855,15,37.75882479076933,2.154434690031882
2024-07-06,2024-08-03,-0.33128266894893715,-0.31375990635828693,219970.73447357898,234000.0,-14029.265526421019,0.059954126181286406,4,38.0441747758108,2.154434690031882
2024-08-03,2024-09-07,-0.2854278374751187,-0.32250301111338264,256683.53036335172,227000.0,29683.530363351718,0.1307644509398754,11,40.74180208554709,2.154434690031882
2024-09-07,2024-10-05,-0.309829295693244,-0.28378354719795884,237146.96843123884,258000.00000000003,-20853.031568761187,0.08082570375488832,12,36.99465754901684,3.1622776601683795
2024-10-05,2024-11-02,-0.2786108621350789,-0.3299971009034646,262141.41159855787,221000.0,41141.41159855787,0.1861602334776374,17,43.42704169132984,2.154434690031882
2024-11-02,2024-12-07,-0.3143152807215062,-0.30876384649823224,233555.35011286818,238000.0,-4444.649887131818,0.01867499952576394,1,41.87345527938268,2.154434690031882
